"","yyyy","mm","PERMNO","GVKEY","FFyear","fyr","LZ4M_fyear","LZ4M_fqtr","LZ4M_fyr","cmonth","fqtr","years_in_cmpst","SHRCD","TICKER","COMNAM","SHRCLS","PRC","VOL","SHROUT","lag_ME","FFbm","AFbm","FF_Momentum","DecME","R61","Dmq","Blq","Olq","Tanq","Roe","Roa","Glaq","Iaq1","dRoe","dRoa","BEa","Investment","Ig","Ig2","Ig3","Ivg","Gla","Hn","Robust","Dm","CFp","Op","Nop","Gpa","Rdm","Tan","Bmq","Am","Amq","RET"
"1",1987,5,10001,12994,1986,6,1987,2,6,5,3,2,11,"GFGC","GREAT FALLS GAS CO","",-5.6875,211,991,6069.875,0.00101441545336601,0.00120866522103184,0.0645602051482568,6937,0.0312259242821314,0.000691777013529933,2.00741710296684,NA,0.686347750489024,0.02560706401766,0.0143992055610725,0.0412942734193975,NA,NA,NA,7.037,NA,NA,NA,NA,NA,NA,NA,0.222111695324712,0.000474124261208015,0.000156840132622171,NA,NA,0.15479496814246,NA,0.71116083973207,0.00113280751251055,0.00176473980106674,0.00227401717498301,-0.0741084336922899
"2",1987,8,10001,12994,1987,6,1987,3,6,8,4,2,11,"GFGC","GREAT FALLS GAS CO","",6.5,314,991,5946,0.00101455960789967,0.00120883697962514,0.0338602457565678,6937,-0.141153165937451,0.000617221661621258,1.93952180028129,NA,0.703324510514866,0.0485933503836317,0.0290544558661116,0.0719565032707502,0.0135979419331127,NA,NA,7.038,-0.0384741055383108,-0.0689655172413793,NA,NA,-0.1171875,0.0884659369384086,-0.0130718954248366,0.110826939471441,0.000450771226755081,0.000111143145451924,0.416,0.375,0.0920057769093534,NA,0.729152238552374,0.00119576185671039,0.00169684301571284,0.00231920618903465,0.0800423999811815
"3",1987,3,10001,12994,1986,6,1987,1,6,3,3,2,11,"GFGC","GREAT FALLS GAS CO","",6.375,216,991,6193.75,0.00101441545336601,0.00120866522103184,0.140122141423227,6937,0.138646063819397,0.000551039354187689,1.77836644591611,NA,0.692467477656405,-0.0270001421060111,-0.0155203398137559,-0.0286717856559386,NA,NA,NA,7.037,NA,NA,NA,NA,NA,NA,NA,0.222111695324712,0.000474124261208015,0.000156840132622171,NA,NA,0.15479496814246,NA,0.71116083973207,0.0010970736629667,0.00176473980106674,0.00195099899091826,0.0361390466158731
"4",1987,7,10001,12994,1987,6,1987,2,6,7,4,2,11,"GFGC","GREAT FALLS GAS CO","",6,215,991,5822.125,0.00101455960789967,0.00120883697962514,-0.026546363230482,6937,-0.176414744737785,0.000721214333254611,2.00741710296684,NA,0.686347750489024,0.02560706401766,0.0143992055610725,0.0412942734193975,NA,NA,NA,7.038,-0.0384741055383108,-0.0689655172413793,NA,NA,-0.1171875,0.0884659369384086,-0.0130718954248366,0.110826939471441,0.000450771226755081,0.000111143145451924,0.416,0.375,0.0920057769093534,NA,0.729152238552374,0.001181012087511,0.00169684301571284,0.00237078386328016,0.0210538050310873
"5",1987,10,10001,12994,1987,6,1987,3,6,10,1,2,11,"GFGC","GREAT FALLS GAS CO","",6.375,550,992,6200,0.00101455960789967,0.00120883697962514,0.0683582257518297,6937,0.0732713480855714,0.000591935483870968,1.93952180028129,NA,0.703324510514866,0.0485933503836317,0.0290544558661116,0.0719565032707502,0.0135979419331127,NA,NA,7.038,-0.0384741055383108,-0.0689655172413793,NA,NA,-0.1171875,0.0884659369384086,-0.0130718954248366,0.110826939471441,0.000450771226755081,0.000111143145451924,0.416,0.375,0.0920057769093534,NA,0.729152238552374,0.00114677419354839,0.00169684301571284,0.0022241935483871,0.0198026272961797
"6",1987,1,10001,12994,1986,6,1986,4,6,1,2,1,11,"GFGC","GREAT FALLS GAS CO","",6.75,399,991,6937,0.00101441545336601,0.00120866522103184,NA,6937,0.136713230700323,0.000474124261208015,1.73966178769362,NA,0.71116083973207,-0.00728393332399496,-0.00382212421903712,0.00264608599779493,NA,NA,NA,7.037,NA,NA,NA,NA,NA,NA,NA,0.222111695324712,0.000474124261208015,0.000156840132622171,NA,NA,0.15479496814246,NA,0.71116083973207,0.00101441545336601,0.00176473980106674,0.00176473980106674,-0.0363673478746225
"7",1987,6,10001,12994,1986,6,1987,2,6,6,4,2,11,"GFGC","GREAT FALLS GAS CO","",5.875,146,991,5636.3125,0.00101441545336601,0.00120866522103184,0.0344069196548277,6937,-0.0472463195767762,0.000744990629955312,2.00741710296684,NA,0.686347750489024,0.02560706401766,0.0143992055610725,0.0412942734193975,NA,NA,NA,7.037,NA,NA,NA,NA,NA,NA,NA,0.222111695324712,0.000474124261208015,0.000156840132622171,NA,NA,0.15479496814246,NA,0.71116083973207,0.00121994655193444,0.00176473980106674,0.00244894157305863,0.0501501912940841
"8",1987,4,10001,12994,1986,6,1987,1,6,4,3,2,11,"GFGC","GREAT FALLS GAS CO","",-6.125,188,991,6317.625,0.00101441545336601,0.00120866522103184,0.0382734647793168,6937,-0.00799486603164662,0.000540234660968323,1.77836644591611,NA,0.692467477656405,-0.0270001421060111,-0.0155203398137559,-0.0286717856559386,NA,NA,NA,7.037,NA,NA,NA,NA,NA,NA,NA,0.222111695324712,0.000474124261208015,0.000156840132622171,NA,NA,0.15479496814246,NA,0.71116083973207,0.00107556241467324,0.00176473980106674,0.0019127441087434,-0.0400056611443647
"9",1987,11,10001,12994,1987,6,1987,4,6,11,1,2,11,"GFGC","GREAT FALLS GAS CO","",6.1875,822,992,6324,0.00101455960789967,0.00120883697962514,0.00733105606423869,6937,0.0145717144966501,0.000494465528146743,1.67249218527991,NA,0.729152238552374,-0.00203606748109366,-0.0010142722596537,0.00637542563210897,-0.0384741055383108,0.0052478658429013,0.00280785195938342,7.038,-0.0384741055383108,-0.0689655172413793,NA,NA,-0.1171875,0.0884659369384086,-0.0130718954248366,0.110826939471441,0.000450771226755081,0.000111143145451924,0.416,0.375,0.0920057769093534,NA,0.729152238552374,0.00111290322580645,0.00169684301571284,0.00186132194813409,-0.029853205573953
"10",1987,2,10001,12994,1986,6,1987,1,6,2,2,1,11,"GFGC","GREAT FALLS GAS CO","",6.25,365,991,6689.25,0.00101441545336601,0.00120866522103184,0.196692036615356,6937,0.164756994001053,0.00051022162424786,1.77836644591611,NA,0.692467477656405,-0.0270001421060111,-0.0155203398137559,-0.0286717856559386,NA,NA,NA,7.037,NA,NA,NA,NA,NA,NA,NA,0.222111695324712,0.000474124261208015,0.000156840132622171,NA,NA,0.15479496814246,NA,0.71116083973207,0.00101580894719139,0.00176473980106674,0.00180648054714654,-0.0769609611361315
